"id","product_tmpl_id/id","attribute_value_ids/id"
"product_product_cat4_118","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_39,insurance_broker_car_pricing.product_attribute_fp_value_fp1"
"product_product_cat4_119","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_40,insurance_broker_car_pricing.product_attribute_fp_value_fp1"
"product_product_cat4_120","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp1,insurance_broker_car_pricing.product_attribute_seats_value_41"
"product_product_cat4_121","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_42,insurance_broker_car_pricing.product_attribute_fp_value_fp1"
"product_product_cat4_122","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp1,insurance_broker_car_pricing.product_attribute_seats_value_43"
"product_product_cat4_123","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp1,insurance_broker_car_pricing.product_attribute_seats_value_44"
"product_product_cat4_124","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp1,insurance_broker_car_pricing.product_attribute_seats_value_45"
"product_product_cat4_125","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_3,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_126","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_4"
"product_product_cat4_127","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_5,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_128","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_6"
"product_product_cat4_129","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_7,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_130","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_8"
"product_product_cat4_131","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_9,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_132","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_10,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_133","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_11"
"product_product_cat4_134","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_12"
"product_product_cat4_135","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_13,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_136","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_14,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_137","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_15"
"product_product_cat4_138","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_16,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_139","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_17"
"product_product_cat4_140","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_18"
"product_product_cat4_141","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_19,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_142","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_20"
"product_product_cat4_143","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_21"
"product_product_cat4_144","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_22"
"product_product_cat4_145","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_23,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_146","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_24,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
"product_product_cat4_147","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_fp_value_fp2,insurance_broker_car_pricing.product_attribute_seats_value_25"
"product_product_cat4_148","insurance_broker_car_pricing.product_template_cat4","insurance_broker_car_pricing.product_attribute_seats_value_26,insurance_broker_car_pricing.product_attribute_fp_value_fp2"
